id,species,voivodeship,county,commune,locality,v1,v2,v3
I/1/2024,Wild boar,lubelskie,parczewski,Milanów,Rudzieniec,I,II,III
I/1/2025,Wild boar,lubelskie,parczewski,Parczew,Tyśmienica,I,II,III
I/1/2026,Wild boar,lubelskie,parczewski,Parczew,Królewski Dwór,I,II,III
I/1/2027,Wild boar,lubelskie,parczewski,Milanów,Cichostów Kolonia,I,II,III
I/1/2028,Wild boar,lubelskie,włodawski,Włodawa,Wyryki,I,II,III
I/1/2029,Wild boar,mazowieckie,ostrołęcki,Ostrołęka,Krysiaki,I,II,III
I/1/2030,Wild boar,mazowieckie,siedlecki,Siedlce,Stok Lacki,I,II,III
I/1/2031,Wild boar,mazowieckie,żyrardowski,Żyrardów,Mszczonów,I,II,III
I/1/2032,Wild boar,podlaskie,białostocki,Białystok,Turośń Kościelna,I,II,III
I/1/2033,Wild boar,podlaskie,łomżyński,Łomża,Piątnica,I,II,III
I/1/2034,Wild boar,warmińsko-mazurskie,olsztyński,Olsztyn,Stawiguda,I,II,III
I/1/2035,Wild boar,warmińsko-mazurskie,szczycieński,Szczytno,Rozogi,I,II,III
I/1/2036,Wild boar,kujawsko-pomorskie,bydgoski,Bydgoszcz,Białe Błota,I,II,III
I/1/2037,Wild boar,kujawsko-pomorskie,toruński,Toruń,Obrowo,I,II,III
I/1/2038,Wild boar,wielkopolskie,poznański,Poznań,Swarzędz,I,II,III
I/1/2039,Wild boar,wielkopolskie,kaliski,Kalisz,Opatówek,I,II,III
I/1/2040,Wild boar,łódź,łódzki wschodni,Łódź,Rzgów,I,II,III
I/1/2041,Wild boar,łódź,piotrkowski,Piotrków Trybunalski,Rozprza,I,II,III
I/1/2042,Wild boar,małopolskie,krakowski,Kraków,Wieliczka,I,II,III
I/1/2043,Wild boar,małopolskie,tarnowski,Tarnów,Tuchów,I,II,III
I/1/2044,Wild boar,śląskie,częstochowski,Częstochowa,Mstów,I,II,III
I/1/2045,Wild boar,śląskie,rybnicki,Rybnik,Czerwionka-Leszczyny,I,II,III
I/1/2046,Wild boar,dolnośląskie,wrocławski,Wrocław,Długołęka,I,II,III
I/1/2047,Wild boar,dolnośląskie,jeleniogórski,Jelenia Góra,Mysłakowice,I,II,III
I/1/2048,Wild boar,zachodniopomorskie,szczeciński,Szczecin,Goleniów,I,II,III
I/1/2049,Wild boar,lubelskie,chełmski,Chełm,Rejowiec,II,I,IV
I/1/2050,Wild boar,lubelskie,zamojski,Zamość,Łabunie,II,I,IV
I/1/2051,Wild boar,podkarpackie,rzeszowski,Rzeszów,Boguchwała,II,I,IV
I/1/2052,Wild boar,podkarpackie,przemyski,Przemyśl,Medyka,II,I,IV
I/1/2053,Wild boar,podkarpackie,sanocki,Sanok,Lesko,II,I,IV
I/1/2054,Wild boar,małopolskie,nowosądecki,Nowy Sącz,Stary Sącz,II,I,IV
I/1/2055,Wild boar,małopolskie,olkuski,Olkusz,Wolbrom,II,I,IV
I/1/2056,Wild boar,śląskie,bielski,Bielsko-Biała,Czechowice-Dziedzice,II,I,IV
I/1/2057,Wild boar,śląskie,gliwicki,Gliwice,Knurów,II,I,IV
I/1/2058,Wild boar,opolskie,opolski,Opole,Prószków,II,I,IV
I/1/2059,Wild boar,opolskie,kędzierzyński,Kędzierzyn-Koźle,Reńska Wieś,II,I,IV
I/1/2060,Wild boar,dolnośląskie,legnicki,Legnica,Kunice,II,I,IV
I/1/2061,Wild boar,dolnośląskie,wałbrzyski,Wałbrzych,Świdnica,II,I,IV
